contrast,direction,database,ID,Description,NES,pvalue,p.adjust,setSize
Training_BFR,Down,Reactome,REACTOME_G2_M_CHECKPOINTS,G2/m checkpoints,-1.9271277003657585,4.873833761732611e-4,0.002330476833196283,48
Training_BFR,Down,GO:BP,GO:0070647,Protein modification by small protein conjugation or removal,-1.8927345277016414,6.204387695312816e-7,2.419711201171998e-5,174
Training_BFR,Down,GO:BP,GO:0045445,Myoblast differentiation,-1.89109417659738,0.0020112364988119085,0.021213832700534157,19
Training_BFR,Down,GO:BP,GO:0007268,Chemical synaptic transmission,-1.890552386515963,2.2623048508526125e-5,5.385460768328362e-4,97
Training_BFR,Down,Reactome,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Intracellular signaling by second messengers,-1.8875591914898744,1.326398700807337e-4,0.0012261819100796714,73
Training_BFR,Down,GO:BP,GO:0050803,Regulation of synapse structure or activity,-1.8787154895156466,4.7942609656226906e-4,0.0067083056106766355,43
Training_BFR,Down,Reactome,REACTOME_DOWNSTREAM_TCR_SIGNALING,Downstream tcr signaling,-1.8682736011339904,7.570335927775253e-4,0.003423108419515766,43
Training_BFR,Down,Reactome,REACTOME_SIGNALING_BY_NOTCH,Signaling by notch,-1.838460803665799,8.516691936131647e-4,0.0036905665056570468,49
Training_BFR,Down,GO:BP,GO:0010498,Proteasomal protein catabolic process,-1.8374756502268772,3.6052171507947244e-6,1.0658650060333435e-4,161
Training_HLRT,Up,GO:CC,GO:0005759,Mitochondrial matrix,3.026982163061573,1.8126782260548364e-34,1.4501425808438691e-32,264
Training_HLRT,Up,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Genes encoding proteins involved in oxidative phosphorylation.,2.9356149193090117,7.897783561270418e-26,3.0801355888954632e-24,168
Training_HLRT,Up,Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Mitochondrial protein degradation,2.9222378751165885,4.480691909198621e-17,9.319839171133131e-15,77
Training_HLRT,Up,GO:CC,GO:0005740,Mitochondrial envelope,2.8550978385661576,6.241955260306787e-35,6.658085610993905e-33,362
Training_HLRT,Up,Reactome,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,Aerobic respiration and respiratory electron transport,2.8471563932350352,3.8333259610425104e-23,1.5946635997936845e-20,176
Training_HLRT,Up,GO:BP,GO:0140053,Mitochondrial gene expression,2.830730227457759,1.052881404458828e-15,4.82482903593258e-13,70
Training_HLRT,Up,GO Slim,GO:0140053,Mitochondrial gene expression,2.830626541633686,1.083560364904167e-15,3.1423250582220844e-14,70
Training_HLRT,Up,Reactome,REACTOME_MITOCHONDRIAL_TRANSLATION,Mitochondrial translation,2.568781314849633,1.9379160444771268e-10,1.6581097595542032e-8,61
Training_HLRT,Up,GO:BP,GO:1902600,Proton transmembrane transport,2.509685749760271,1.0373520107300953e-11,2.3768327945853307e-9,94
Training_HLRT,Up,KEGG,hsa04714,Thermogenesis,2.482373415333965,2.471145421006167e-11,4.991713750432457e-9,120
Training_HLRT,Up,GO Slim,GO:0006091,Generation of precursor metabolites and energy,2.4603661374020933,3.7836063327767145e-17,2.1944916730104944e-15,244
Training_HLRT,Up,GO:BP,GO:0006091,Generation of precursor metabolites and energy,2.445890760738534,5.3803678545665684e-17,4.93110713871026e-14,244
Training_HLRT,Up,GO:MF,GO:0015078,Proton transmembrane transporter activity,2.4218269681405236,1.0909612178153035e-9,3.5128951213652773e-7,88
Training_HLRT,Up,KEGG,hsa00020,Citrate cycle (tca cycle),2.3563382224532825,1.1479384933347949e-6,2.3188357565362856e-5,25
Training_HLRT,Up,GO:BP,GO:0006418,Trna aminoacylation for protein translation,2.3513755556635503,5.645349831139741e-7,3.338040722735208e-5,29
Training_HLRT,Up,KEGG,hsa00970,Aminoacyl-trna biosynthesis,2.3500470322502722,7.150091595725674e-7,1.60479833592954e-5,27
Training_HLRT,Up,Reactome,REACTOME_TRNA_AMINOACYLATION,Trna aminoacylation,2.3103464300256125,1.445831970126855e-6,1.5225687556901181e-5,30
Training_HLRT,Up,GO:MF,GO:0140101,"Catalytic activity, acting on a trna",2.2751624766142826,3.199133866908614e-6,1.2876513814307172e-4,39
Training_HLRT,Up,GO:MF,GO:0016874,Ligase activity,2.2664131616593655,7.13137438350308e-8,7.654341838293306e-6,87
Training_HLRT,Up,Reactome,REACTOME_PROTEIN_LOCALIZATION,Protein localization,2.215661530466746,1.2112254506966156e-7,4.198914895748267e-6,85
Training_HLRT,Up,KEGG,hsa05208,Chemical carcinogenesis - reactive oxygen species,2.192691215773815,3.7802098640715694e-8,1.527204785084914e-6,122
Training_HLRT,Up,GO Slim,GO:0007005,Mitochondrion organization,2.085228079118912,6.755637416225863e-9,9.7956742535275e-8,175
Training_HLRT,Up,GO:BP,GO:0007005,Mitochondrion organization,2.0680233597351156,1.4483428270526445e-8,1.474895778881943e-6,175
Training_HLRT,Up,GO:MF,GO:0051536,Iron-sulfur cluster binding,1.991589629921755,4.497547823131587e-4,0.005172179996601326,30
Training_HLRT,Up,GO Slim,GO:0006399,Trna metabolic process,1.9854770431650872,6.659077699548531e-5,6.437108442896912e-4,49
Training_HLRT,Up,Reactome,REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT,Mitochondrial calcium ion transport,1.9413898224196322,5.479155649809527e-4,0.0018234630002566105,15
Training_HLRT,Up,GO:BP,GO:0120162,Positive regulation of cold-induced thermogenesis,1.9257178060672915,0.0022941577759860022,0.027856625513443253,16
Training_HLRT,Up,GO:BP,GO:0015711,Organic anion transport,1.8898103036549547,4.598546160877802e-4,0.008263857953812754,51
Training_HLRT,Up,GO:BP,GO:0016042,Lipid catabolic process,1.8633944306780705,1.1382189071282063e-4,0.002575747230575311,67
Training_HLRT,Up,Reactome,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,Organelle biogenesis and maintenance,1.8608138798316511,1.149958277944782e-4,4.599833111779128e-4,83
Training_HLRT,Down,Reactome,REACTOME_DOWNSTREAM_TCR_SIGNALING,Downstream tcr signaling,-2.3779970406981863,2.283837758393427e-7,5.9379781718229106e-6,43
Training_HLRT,Down,Reactome,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Antigen processing: ubiquitination & proteasome degradation,-2.331620248887047,7.6023952768851e-9,3.9532455439802525e-7,85
Training_HLRT,Down,Reactome,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Abc-family proteins mediated transport,-2.3274531633964437,7.053186624141751e-7,9.78041878547656e-6,41
Training_HLRT,Down,Reactome,REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,"Antigen processing: ub, atp-independent proteasomal degradation",-2.293694559296449,3.3023343165459954e-6,2.3685708201433347e-5,16
Training_HLRT,Down,Reactome,REACTOME_G2_M_CHECKPOINTS,G2/m checkpoints,-2.2725697954015405,6.838069601807881e-7,9.78041878547656e-6,48
Training_HLRT,Down,Reactome,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,Tnfr2 non-canonical nf-kb pathway,-2.2494803078555647,2.6526910594582146e-6,2.1637636877149356e-5,36
Training_HLRT,Down,GO:CC,GO:0043292,Contractile muscle fiber,-2.1981759910844447,1.3149855905084756e-9,4.207953889627122e-8,155
Training_HLRT,Down,GO:BP,GO:0007517,Muscle organ development,-2.193165545400814,1.199209436412345e-8,1.318606355762038e-6,108
Training_HLRT,Down,Reactome,REACTOME_STRIATED_MUSCLE_CONTRACTION,Striated muscle contraction,-2.182312159751415,1.6207443192448102e-5,8.534552364630899e-5,28
Training_HLRT,Down,GO Slim,GO:0003012,Muscle system process,-2.1732378013474243,2.4260878055135244e-9,4.6904364239928135e-8,159
Training_HLRT,Down,Reactome,REACTOME_GASTRULATION,Gastrulation,-2.1467269187816598,1.9575052739399434e-5,9.694311832845434e-5,34
Training_HLRT,Down,GO:BP,GO:0010498,Proteasomal protein catabolic process,-2.1444848732246133,1.215561298410978e-9,1.856769883322769e-7,161
Training_HLRT,Down,GO:BP,GO:0003012,Muscle system process,-2.117571058235489,7.61428984541577e-10,1.5507770318496784e-7,159
Training_HLRT,Down,Reactome,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Intracellular signaling by second messengers,-2.1045252379550186,1.7950528427745778e-6,1.7366092618470333e-5,73
Training_HLRT,Down,GO:MF,GO:0015085,Calcium ion transmembrane transporter activity,-2.097354789536357,1.0181692254535527e-4,0.0018213916144224666,16
Training_HLRT,Down,Reactome,REACTOME_SIGNALING_BY_NOTCH,Signaling by notch,-2.0924703362018864,1.883654800484324e-5,9.440968638572034e-5,49
Training_HLRT,Down,GO:BP,GO:0003007,Heart morphogenesis,-2.0818451930174344,6.309560067356672e-5,0.00165220337192354,36
Training_HLRT,Down,Reactome,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,Mitotic g1 phase and g1/s transition,-2.0750077886347618,5.708707707074542e-5,2.448270521796917e-4,44
Training_HLRT,Down,GO:CC,GO:0034704,Calcium channel complex,-2.049477328469033,1.773201227296553e-4,0.001668895272749697,17
Training_HLRT,Down,KEGG,hsa04120,Ubiquitin mediated proteolysis,-2.045504052617236,1.4491746768200027e-4,0.001951555231450937,39
Training_HLRT,Down,GO:CC,GO:0000932,P-body,-2.010938876544202,1.699270563771059e-4,0.0016477775163840573,20
Training_HLRT,Down,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,Transcriptional regulation by runx1,-2.0062863509136246,1.5727259518391506e-4,5.947763599682606e-4,45
Training_HLRT,Down,KEGG,hsa04820,Cytoskeleton in muscle cells,-1.9973548124442728,3.9991265258406603e-7,1.0097794477747667e-5,130
Training_HLRT,Down,GO:BP,GO:0071695,Anatomical structure maturation,-1.9957475235246502,8.139281944828765e-4,0.013320806968634934,21
Training_HLRT,Down,Reactome,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,Non-integrin membrane-ecm interactions,-1.9913172048214394,3.219685252961629e-4,0.0011646861436800328,27
Training_HLRT,Down,GO:BP,GO:0030178,Negative regulation of wnt signaling pathway,-1.959435656828718,0.0012230106864377357,0.018375234329839094,17
Training_HLRT,Down,Hallmark,HALLMARK_SPERMATOGENESIS,"Genes up-regulated during production of male gametes (sperm), as in spermatogenesis.",-1.950663853366999,9.414459790556434e-4,0.007343278636634018,16
Training_HLRT,Down,GO:CC,GO:0042383,Sarcolemma,-1.9388646943869314,4.013633036336005e-5,4.756898413435265e-4,70
Training_HLRT,Down,Reactome,REACTOME_DEUBIQUITINATION,Deubiquitination,-1.9341887789271028,9.812245672540812e-5,4.00185705860488e-4,77
Training_HLRT,Down,GO:MF,GO:0032182,Ubiquitin-like protein binding,-1.9257567620201048,5.235272484006741e-4,0.005716915110702251,33
