sample,pct_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_deviation,mad_flag,n_flags,consensus_outlier
S14E_T1,4.3219666931007135,FALSE,1.0070277883185184,FALSE,20.680030661075,0.19264497059907626,FALSE,0,FALSE
S14E_T2,7.613005551149881,FALSE,1.0262073444616615,FALSE,20.90976493133815,0.03708929966407126,FALSE,0,FALSE
S15D_T1,15.820777160983345,FALSE,2.4906083620637416,FALSE,21.359175278423834,0.4864996467497562,FALSE,0,FALSE
S15D_T2,16.653449643140362,FALSE,2.9847035937682733,FALSE,21.293337490103156,0.420661858429078,FALSE,0,FALSE
S15E_T1,6.9389373513084855,FALSE,0.5852302569395258,FALSE,20.834607610931553,0.03806802074252502,FALSE,0,FALSE
S15E_T2,13.322759714512292,FALSE,1.0545504039018052,FALSE,21.262124691913147,0.38944906023906967,FALSE,0,FALSE
S16D_T1,14.948453608247423,FALSE,0.8837983850671738,FALSE,21.25925650827901,0.38658087660493123,FALSE,0,FALSE
S16D_T2,2.299762093576527,FALSE,1.0104594802204652,FALSE,20.771528962788363,0.10114666888571477,FALSE,0,FALSE
S16E_T1,14.948453608247423,FALSE,1.4458481864266282,FALSE,21.44253099481025,0.569855363136174,FALSE,0,FALSE
S16E_T2,13.639968279143536,FALSE,0.48582900605413715,FALSE,20.90976493133815,0.03708929966407126,FALSE,0,FALSE
S17D_T1,19.547977795400477,FALSE,4.93737229941524,FALSE,21.66275224544301,0.7900766137689317,TRUE,1,FALSE
S17D_T2,3.608247422680412,FALSE,1.2271033453748046,FALSE,20.771528962788363,0.10114666888571477,FALSE,0,FALSE
S17E_T1,4.559873116574147,FALSE,1.068325435720086,FALSE,20.75531874471416,0.11735688695991797,FALSE,0,FALSE
S17E_T2,1.5463917525773196,FALSE,0.9320109326413801,FALSE,20.722341441113702,0.15033419056037545,FALSE,0,FALSE
S18D_T1,14.23473433782712,FALSE,3.5296962139498644,FALSE,21.432371132167475,0.5596955004933974,FALSE,0,FALSE
S18D_T2,16.77240285487708,FALSE,3.4835101052676816,FALSE,21.359175278423834,0.4864996467497562,FALSE,0,FALSE
S18E_T1,13.322759714512292,FALSE,0.7127791146537441,FALSE,21.203589263693416,0.3309136320193389,FALSE,0,FALSE
S18E_T2,13.16415543219667,FALSE,2.7545516544104203,FALSE,21.250606066151224,0.3779304344771468,FALSE,0,FALSE
