"gene","protein","description","in_hpa_muscle","in_blood_blacklist"
"IGHG3","IGHG3_HUMAN","Immunoglobulin heavy constant gamma 3",FALSE,TRUE
"IGHG4","IGHG4_HUMAN","Immunoglobulin heavy constant gamma 4",FALSE,TRUE
"IGHM","IGHM_HUMAN","Immunoglobulin heavy constant mu",TRUE,TRUE
"IGHV1-18","HV118_HUMAN","Immunoglobulin heavy variable 1-18",FALSE,TRUE
"IGHV1-2","HV102_HUMAN","Immunoglobulin heavy variable 1-2",FALSE,TRUE
"IGHV1-69","HV169_HUMAN","Immunoglobulin heavy variable 1-69",FALSE,TRUE
"IGHV2-5","HV205_HUMAN","Immunoglobulin heavy variable 2-5",FALSE,TRUE
"IGHV2-70D","HV70D_HUMAN","Immunoglobulin heavy variable 2-70D",FALSE,TRUE
"IGHV3-13","HV313_HUMAN","Immunoglobulin heavy variable 3-13",FALSE,TRUE
"IGHV3-15","HV315_HUMAN","Immunoglobulin heavy variable 3-15",FALSE,TRUE
"IGHV3-30","HV330_HUMAN","Immunoglobulin heavy variable 3-30",FALSE,TRUE
"IGHV3-35","HV335_HUMAN","Probable non-functional immunoglobulin heavy variable 3-35",FALSE,TRUE
"IGHV3-43","HV343_HUMAN","Immunoglobulin heavy variable 3-43",FALSE,TRUE
"IGHV3-43D","HV309_HUMAN","Immunoglobulin heavy variable 3-9",FALSE,TRUE
"IGHV3-49","HV349_HUMAN","Immunoglobulin heavy variable 3-49",FALSE,TRUE
"IGHV3-64D","HV64D_HUMAN","Immunoglobulin heavy variable 3-64D",FALSE,TRUE
"IGHV3-7","HV307_HUMAN","Immunoglobulin heavy variable 3-7",TRUE,TRUE
"IGHV3-72","HV372_HUMAN","Immunoglobulin heavy variable 3-72",FALSE,TRUE
"IGHV3-74","HV374_HUMAN","Immunoglobulin heavy variable 3-74",FALSE,TRUE
"IGHV4-28","HV428_HUMAN","Immunoglobulin heavy variable 4-28",FALSE,TRUE
"IGHV4-34","HV434_HUMAN","Immunoglobulin heavy variable 4-34",FALSE,TRUE
"IGHV5-51","HV551_HUMAN","Immunoglobulin heavy variable 5-51",FALSE,TRUE
"IGHV6-1","HV601_HUMAN","Immunoglobulin heavy variable 6-1",FALSE,TRUE
"IGKC","IGKC_HUMAN","Immunoglobulin kappa constant",FALSE,TRUE
"IGKV1-13","KV113_HUMAN","Immunoglobulin kappa variable 1D-13",FALSE,TRUE
"IGKV1-16","KV116_HUMAN","Immunoglobulin kappa variable 1-16",FALSE,TRUE
"IGKV1-17","KV117_HUMAN","Immunoglobulin kappa variable 1-17",TRUE,TRUE
"IGKV1-33","KV133_HUMAN","Immunoglobulin kappa variable 1D-33",FALSE,TRUE
"IGKV1-39","KV139_HUMAN","Immunoglobulin kappa variable 1-39",FALSE,TRUE
"IGKV1-5","KV105_HUMAN","Immunoglobulin kappa variable 1-5",FALSE,TRUE
"IGKV1-8","KV108_HUMAN","Immunoglobulin kappa variable 1-8",FALSE,TRUE
"IGKV2-24","KV224_HUMAN","Probable non-functional immunoglobulin kappa variable 2D-24",FALSE,TRUE
"IGKV2-28","KV228_HUMAN","Immunoglobulin kappa variable 2-28",TRUE,TRUE
"IGKV2-30","KV230_HUMAN","Immunoglobulin kappa variable 2-30",FALSE,TRUE
"IGKV2-40","KV240_HUMAN","Immunoglobulin kappa variable 2-40",FALSE,TRUE
"IGKV2D-29","KVD29_HUMAN","Immunoglobulin kappa variable 2D-29",FALSE,TRUE
"IGKV3-11","KV311_HUMAN","Immunoglobulin kappa variable 3D-11",FALSE,TRUE
"IGKV3-15","KV315_HUMAN","Immunoglobulin kappa variable 3-15",TRUE,TRUE
"IGKV3-20","KV320_HUMAN","Immunoglobulin kappa variable 3-20",TRUE,TRUE
"IGKV3D-15","KVD15_HUMAN","Immunoglobulin kappa variable 3D-15",FALSE,TRUE
"IGKV3D-20","KVD20_HUMAN","Immunoglobulin kappa variable 3D-20",FALSE,TRUE
"IGKV4-1","KV401_HUMAN","Immunoglobulin kappa variable 4-1",TRUE,TRUE
"IGKV6D-21","KVD21_HUMAN","Immunoglobulin kappa variable 6D-21",FALSE,TRUE
"IGLC2","IGLC2_HUMAN","Immunoglobulin lambda constant 2",TRUE,TRUE
"IGLC7","IGLC7_HUMAN","Immunoglobulin lambda constant 7",FALSE,TRUE
"IGLL5","IGLL5_HUMAN","Immunoglobulin lambda-like polypeptide 5",FALSE,TRUE
"IGLV1-40","LV140_HUMAN","Immunoglobulin lambda variable 1-40",TRUE,TRUE
"IGLV1-47","LV147_HUMAN","Immunoglobulin lambda variable 1-47",FALSE,TRUE
"IGLV1-51","LV151_HUMAN","Immunoglobulin lambda variable 1-51",TRUE,TRUE
"IGLV2-11","LV211_HUMAN","Immunoglobulin lambda variable 2-11",TRUE,TRUE
"IGLV2-14","LV214_HUMAN","Immunoglobulin lambda variable 2-14",TRUE,TRUE
"IGLV2-23","LV223_HUMAN","Immunoglobulin lambda variable 2-23",FALSE,TRUE
"IGLV3-10","LV310_HUMAN","Immunoglobulin lambda variable 3-10",FALSE,TRUE
"IGLV3-19","LV319_HUMAN","Immunoglobulin lambda variable 3-19",FALSE,TRUE
"IGLV3-21","LV321_HUMAN","Immunoglobulin lambda variable 3-21",FALSE,TRUE
"IGLV3-25","LV325_HUMAN","Immunoglobulin lambda variable 3-25",FALSE,TRUE
"IGLV3-9","LV39_HUMAN","Immunoglobulin lambda variable 3-9",FALSE,TRUE
"IGLV4-69","LV469_HUMAN","Immunoglobulin lambda variable 4-69",FALSE,TRUE
"IGLV6-57","LV657_HUMAN","Immunoglobulin lambda variable 6-57",FALSE,TRUE
"IGLV8-61","LV861_HUMAN","Immunoglobulin lambda variable 8-61",FALSE,TRUE
"IQGAP2","IQGA2_HUMAN","Ras GTPase-activating-like protein IQGAP2",FALSE,FALSE
"ITGA2B","ITA2B_HUMAN","Integrin alpha-IIb",FALSE,FALSE
"ITIH1","ITIH1_HUMAN","Inter-alpha-trypsin inhibitor heavy chain H1",FALSE,TRUE
"ITIH2","ITIH2_HUMAN","Inter-alpha-trypsin inhibitor heavy chain H2",FALSE,TRUE
"ITIH3","ITIH3_HUMAN","Inter-alpha-trypsin inhibitor heavy chain H3",FALSE,TRUE
"ITIH4","ITIH4_HUMAN","Inter-alpha-trypsin inhibitor heavy chain H4",TRUE,TRUE
"JCHAIN","IGJ_HUMAN","Immunoglobulin J chain",TRUE,TRUE
"KEL","KELL_HUMAN","Kell blood group glycoprotein",FALSE,FALSE
"KERA","KERA_HUMAN","Keratocan",FALSE,FALSE
"KLK8","KLK8_HUMAN","Kallikrein-8",FALSE,FALSE
"KNG1","KNG1_HUMAN","Kininogen-1",FALSE,TRUE
"KRT1","K2C1_HUMAN","Keratin, type II cytoskeletal 1",TRUE,TRUE
"KRT10","K1C10_HUMAN","Keratin, type I cytoskeletal 10",TRUE,TRUE
"KRT13","K1C13_HUMAN","Keratin, type I cytoskeletal 13",TRUE,TRUE
"KRT14","K1C14_HUMAN","Keratin, type I cytoskeletal 14",TRUE,TRUE
"KRT16","K1C16_HUMAN","Keratin, type I cytoskeletal 16",FALSE,TRUE
"KRT2","K22E_HUMAN","Keratin, type II cytoskeletal 2 epidermal",TRUE,TRUE
"KRT31","K1H1_HUMAN","Keratin, type I cuticular Ha1",TRUE,TRUE
"KRT5","K2C5_HUMAN","Keratin, type II cytoskeletal 5",TRUE,TRUE
"KRT6A","K2C6A_HUMAN","Keratin, type II cytoskeletal 6A",TRUE,TRUE
"KRT77","K2C1B_HUMAN","Keratin, type II cytoskeletal 1b",FALSE,TRUE
"KRT86","KRT86_HUMAN","Keratin, type II cuticular Hb6",FALSE,TRUE
"KRT9","K1C9_HUMAN","Keratin, type I cytoskeletal 9",FALSE,TRUE
"KRTAP3-1","KRA31_HUMAN","Keratin-associated protein 3-1",FALSE,TRUE
"LACRT","LACRT_HUMAN","Extracellular glycoprotein lacritin",FALSE,FALSE
"LDHAL6B","LDH6B_HUMAN","L-lactate dehydrogenase A-like 6B",FALSE,FALSE
"LPA","APOA_HUMAN","Apolipoprotein(a)",FALSE,FALSE
"LYZ","LYSC_HUMAN","Lysozyme C",TRUE,TRUE
"MAL2","MAL2_HUMAN","Protein MAL2",FALSE,FALSE
"MOCS2","MOC2B_HUMAN","Molybdopterin synthase catalytic subunit",FALSE,FALSE
"MRPL45","RM45_HUMAN","39S ribosomal protein L45, mitochondrial",FALSE,FALSE
"MYH15","MYH15_HUMAN","Myosin-15",FALSE,FALSE
"MYH16","MYH16_HUMAN","Putative uncharacterized protein MYH16",FALSE,FALSE
"Methylosome","Methylosome","",FALSE,FALSE
"NACA","NACAM_HUMAN","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",FALSE,FALSE
"NCF1","NCF1B_HUMAN","Putative neutrophil cytosol factor 1B",FALSE,FALSE
"Nucleolar","Nucleolar","",FALSE,FALSE
"ORM1","A1AG1_HUMAN","Alpha-1-acid glycoprotein 1",TRUE,TRUE
"ORM2","A1AG2_HUMAN","Alpha-1-acid glycoprotein 2",FALSE,TRUE
"PCBP3","PCBP3_HUMAN","Poly(rC)-binding protein 3",FALSE,FALSE
"PCK1","PCKGC_HUMAN","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",FALSE,FALSE
"PF4","PLF4_HUMAN","Platelet factor 4",FALSE,TRUE
"PGK2","PGK2_HUMAN","Phosphoglycerate kinase 2",FALSE,FALSE
"PGLYRP2","PGRP2_HUMAN","N-acetylmuramoyl-L-alanine amidase",FALSE,FALSE
"PIGR","PIGR_HUMAN","Polymeric immunoglobulin receptor",FALSE,FALSE
"PKLR","KPYR_HUMAN","Pyruvate kinase PKLR",FALSE,FALSE
"PLG","PLMN_HUMAN","Plasminogen",FALSE,TRUE
"PLS1","PLSI_HUMAN","Plastin-1",FALSE,FALSE
"POLR2M","GL1AD_HUMAN","DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5",FALSE,FALSE
"PON1","PON1_HUMAN","Serum paraoxonase/arylesterase 1",FALSE,FALSE
"PPBP","CXCL7_HUMAN","Platelet basic protein",TRUE,TRUE
"PPP1R1B","PPR1B_HUMAN","Protein phosphatase 1 regulatory subunit 1B",FALSE,FALSE
"PRAME","PRAME","",FALSE,FALSE
"PRKACG","KAPCG_HUMAN","cAMP-dependent protein kinase catalytic subunit gamma",FALSE,FALSE
"PROS1","PROS_HUMAN","Vitamin K-dependent protein S",TRUE,TRUE
"PRR33","PRR33_HUMAN","Proline-rich protein 33",FALSE,FALSE
"PRTN3","PRTN3_HUMAN","Myeloblastin",FALSE,FALSE
"PZP","PZP_HUMAN","Pregnancy zone protein",FALSE,FALSE
"Profilin-4","Profilin-4","",FALSE,FALSE
"Protocadherin","Protocadherin","",FALSE,FALSE
"RAB12","RAB12_HUMAN","Ras-related protein Rab-12",FALSE,FALSE
"RNASE3","ECP_HUMAN","Eosinophil cationic protein",FALSE,FALSE
"RSC1A1","RSCA1_HUMAN","Regulatory solute carrier protein family 1 member 1",FALSE,FALSE
"RTN1","RTN1_HUMAN","Reticulon-1",FALSE,FALSE
"RYR2","RYR2_HUMAN","Ryanodine receptor 2",FALSE,FALSE
"Ran-binding","Ran-binding","",FALSE,FALSE
"SAA1","SAA1_HUMAN","Serum amyloid A-1 protein",TRUE,TRUE
"SEC14L4","S14L4_HUMAN","SEC14-like protein 4",FALSE,FALSE
"SERPINA1","A1AT_HUMAN","Alpha-1-antitrypsin",TRUE,TRUE
"SERPINA4","KAIN_HUMAN","Kallistatin",FALSE,FALSE
"SERPINA6","CBG_HUMAN","Corticosteroid-binding globulin",FALSE,FALSE
"SERPINA7","THBG_HUMAN","Thyroxine-binding globulin",FALSE,FALSE
"SERPINC1","ANT3_HUMAN","Antithrombin-III",FALSE,TRUE
"SERPIND1","HEP2_HUMAN","Heparin cofactor 2",FALSE,TRUE
"SERPING1","IC1_HUMAN","Plasma protease C1 inhibitor",TRUE,TRUE
"SHBG","SHBG_HUMAN","Sex hormone-binding globulin",FALSE,FALSE
"SLC35A4","S35U4_HUMAN","SLC35A4 upstream open reading frame protein",FALSE,FALSE
"SLC37A4","G6PT1_HUMAN","Glucose-6-phosphate exchanger SLC37A4",FALSE,FALSE
"SLC4A1","B3AT_HUMAN","Band 3 anion transport protein",FALSE,FALSE
"SNRPG","RUXGL_HUMAN","Putative small nuclear ribonucleoprotein G-like protein 15",FALSE,FALSE
"SPRR2G","SPR2G_HUMAN","Small proline-rich protein 2G",FALSE,FALSE
"SPTA1","SPTA1_HUMAN","Spectrin alpha chain, erythrocytic 1",FALSE,FALSE
"TF","TRFE_HUMAN","Serotransferrin",TRUE,TRUE
"THBS1","TSP1_HUMAN","Thrombospondin-1",TRUE,TRUE
"TMPO","LAP2A_HUMAN","Lamina-associated polypeptide 2, isoform alpha",FALSE,FALSE
"TOG","TOG","",FALSE,FALSE
"TOR1AIP2","TOIP2_HUMAN","Torsin-1A-interacting protein 2",FALSE,FALSE
"TTR","TTHY_HUMAN","Transthyretin",TRUE,TRUE
"TUBA3E","TBA3E_HUMAN","Tubulin alpha-3E chain",FALSE,FALSE
"TUBA4B","TBA4B_HUMAN","Putative tubulin-like protein alpha-4B",FALSE,FALSE
"TUBB1","TBB1_HUMAN","Tubulin beta-1 chain",FALSE,FALSE
"TUBB3","TBB3_HUMAN","Tubulin beta-3 chain",FALSE,FALSE
"Trafficking","Trafficking","",FALSE,FALSE
"Transcription","Transcription","",FALSE,FALSE
"U2AF1","U2AF1_HUMAN","Splicing factor U2AF 35 kDa subunit-like protein",FALSE,FALSE
"VTN","VTNC_HUMAN","Vitronectin",FALSE,FALSE
"VWF","VWF_HUMAN","von Willebrand factor",TRUE,TRUE
"WASH2P","WASH2_HUMAN","Putative WAS protein family homolog 3",FALSE,FALSE
"cRAP-AHSG","cRAP-FETUA_BOVIN","Alpha-2-HS-glycoprotein",FALSE,FALSE
"cRAP-ALB","cRAP-ALBU_BOVIN","Serum albumin",FALSE,FALSE
"cRAP-CSN1S1","cRAP-CASA1_BOVIN","Alpha-S1-casein",FALSE,FALSE
"cRAP-LYZ","cRAP-LYSC_CHICK","Lysozyme C",FALSE,FALSE
"cRAP-MB","cRAP-MYG_HORSE","Myoglobin",FALSE,FALSE
