"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",6,6,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",14,8,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",17,17,FALSE,"IGHM","ENSG00000211899",TRUE,TRUE,"Blood blacklist"
"P01876","IGHA1_HUMAN","IGHA1","Immunoglobulin heavy constant alpha 1",13,8,FALSE,"IGHA1","ENSG00000211895",TRUE,TRUE,"Blood blacklist"
"P01877","IGHA2_HUMAN","IGHA2","Immunoglobulin heavy constant alpha 2",4,4,FALSE,"IGHA2","ENSG00000211890",TRUE,TRUE,"Blood blacklist"
"P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta",8,8,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02008","HBAZ_HUMAN","HBZ","Hemoglobin subunit zeta",8,7,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",17,9,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02533","K1C14_HUMAN","KRT14","Keratin, type I cytoskeletal 14",6,1,FALSE,"KRT14","ENSG00000186847",TRUE,TRUE,"Blood blacklist"
"P02538","K2C6A_HUMAN","KRT6A","Keratin, type II cytoskeletal 6A",1,0,FALSE,"KRT6A","ENSG00000205420",TRUE,TRUE,"Blood blacklist"
"P02647","APOA1_HUMAN","APOA1","Apolipoprotein A-I",25,25,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02649","APOE_HUMAN","APOE","Apolipoprotein E",14,14,FALSE,"APOE","ENSG00000130203",TRUE,TRUE,"Blood blacklist"
"P02652","APOA2_HUMAN","APOA2","Apolipoprotein A-II",6,6,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02654","APOC1_HUMAN","APOC1","Apolipoprotein C-I",3,3,FALSE,"APOC1","ENSG00000130208",TRUE,TRUE,"Blood blacklist"
"P02655","APOC2_HUMAN","APOC2","Apolipoprotein C-II",4,4,FALSE,"APOC2","ENSG00000234906",TRUE,TRUE,"Blood blacklist"
"P02656","APOC3_HUMAN","APOC3","Apolipoprotein C-III",3,3,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02671","FIBA_HUMAN","FGA","Fibrinogen alpha chain",30,30,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02675","FIBB_HUMAN","FGB","Fibrinogen beta chain",23,23,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02679","FIBG_HUMAN","FGG","Fibrinogen gamma chain",23,23,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02746","C1QB_HUMAN","C1QB","Complement C1q subcomponent subunit B",4,4,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02747","C1QC_HUMAN","C1QC","Complement C1q subcomponent subunit C",5,5,FALSE,"C1QC","ENSG00000159189",TRUE,TRUE,"Blood blacklist"
"P02748","CO9_HUMAN","C9","Complement component C9",11,11,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02749","APOH_HUMAN","APOH","Beta-2-glycoprotein 1",12,12,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02763","A1AG1_HUMAN","ORM1","Alpha-1-acid glycoprotein 1",6,6,FALSE,"ORM1","ENSG00000229314",TRUE,TRUE,"Blood blacklist"
"P02765","FETUA_HUMAN","AHSG","Alpha-2-HS-glycoprotein",8,7,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02766","TTHY_HUMAN","TTR","Transthyretin",5,5,FALSE,"TTR","ENSG00000118271",TRUE,TRUE,"Blood blacklist"
"P02768","ALBU_HUMAN","ALB","Serum albumin",61,0,TRUE,"ALB","ENSG00000163631",TRUE,TRUE,"Blood blacklist"
"P02774","VTDB_HUMAN","GC","Vitamin D-binding protein",28,28,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02775","CXCL7_HUMAN","PPBP","Platelet basic protein",4,4,FALSE,"PPBP","ENSG00000163736",TRUE,TRUE,"Blood blacklist"
"P02776","PLF4_HUMAN","PF4","Platelet factor 4",3,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P02787","TRFE_HUMAN","TF","Serotransferrin",46,0,TRUE,"TF","ENSG00000091513",TRUE,TRUE,"Blood blacklist"
"P02790","HEMO_HUMAN","HPX","Hemopexin",20,20,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P04003","C4BPA_HUMAN","C4BPA","C4b-binding protein alpha chain",16,16,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P04114","APOB_HUMAN","APOB","Apolipoprotein B-100",147,147,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P04217","A1BG_HUMAN","A1BG","Alpha-1B-glycoprotein",13,13,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P04264","K2C1_HUMAN","KRT1","Keratin, type II cytoskeletal 1",26,0,TRUE,"KRT1","ENSG00000167768",TRUE,TRUE,"Blood blacklist"
"P04275","VWF_HUMAN","VWF","von Willebrand factor",13,13,FALSE,"VWF","ENSG00000110799",TRUE,TRUE,"Blood blacklist"
"P04430","KV116_HUMAN","IGKV1-16","Immunoglobulin kappa variable 1-16",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P05090","APOD_HUMAN","APOD","Apolipoprotein D",8,8,FALSE,"APOD","ENSG00000189058",TRUE,TRUE,"Blood blacklist"
"P05155","IC1_HUMAN","SERPING1","Plasma protease C1 inhibitor",15,15,FALSE,"SERPING1","ENSG00000149131",TRUE,TRUE,"Blood blacklist"
"P05156","CFAI_HUMAN","CFI","Complement factor I",9,9,FALSE,"CFI","ENSG00000205403",TRUE,TRUE,"Blood blacklist"
"P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",5,5,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P05546","HEP2_HUMAN","SERPIND1","Heparin cofactor 2",12,12,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P06310","KV230_HUMAN","IGKV2-30","Immunoglobulin kappa variable 2-30",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P06312","KV401_HUMAN","IGKV4-1","Immunoglobulin kappa variable 4-1",3,3,FALSE,"IGKV4-1","ENSG00000211598",TRUE,TRUE,"Blood blacklist"
"P06331","HV434_HUMAN","IGHV4-34","Immunoglobulin heavy variable 4-34",2,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P06727","APOA4_HUMAN","APOA4","Apolipoprotein A-IV",25,25,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P07225","PROS_HUMAN","PROS1","Vitamin K-dependent protein S",6,6,FALSE,"PROS1","ENSG00000184500",TRUE,TRUE,"Blood blacklist"
"P07357","CO8A_HUMAN","C8A","Complement component C8 alpha chain",10,10,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",13,13,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P07360","CO8G_HUMAN","C8G","Complement component C8 gamma chain",3,3,FALSE,"C8G","ENSG00000176919",TRUE,TRUE,"Blood blacklist"
"P07996","TSP1_HUMAN","THBS1","Thrombospondin-1",28,27,FALSE,"THBS1","ENSG00000137801",TRUE,TRUE,"Blood blacklist"
"P08603","CFAH_HUMAN","CFH","Complement factor H",46,44,FALSE,"CFH","ENSG00000000971",TRUE,TRUE,"Blood blacklist"
