"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"P01833","PIGR_HUMAN","PIGR","Polymeric immunoglobulin receptor",4,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",7,7,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",6,6,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",14,8,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta",8,8,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02008","HBAZ_HUMAN","HBZ","Hemoglobin subunit zeta",8,7,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",17,9,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02549","SPTA1_HUMAN","SPTA1","Spectrin alpha chain, erythrocytic 1",94,94,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P02647","APOA1_HUMAN","APOA1","Apolipoprotein A-I",25,25,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02652","APOA2_HUMAN","APOA2","Apolipoprotein A-II",6,6,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02656","APOC3_HUMAN","APOC3","Apolipoprotein C-III",3,3,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02671","FIBA_HUMAN","FGA","Fibrinogen alpha chain",30,30,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02675","FIBB_HUMAN","FGB","Fibrinogen beta chain",23,23,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02679","FIBG_HUMAN","FGG","Fibrinogen gamma chain",23,23,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02730","B3AT_HUMAN","SLC4A1","Band 3 anion transport protein",24,24,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P02743","SAMP_HUMAN","APCS","Serum amyloid P-component",5,5,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P02746","C1QB_HUMAN","C1QB","Complement C1q subcomponent subunit B",4,4,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02748","CO9_HUMAN","C9","Complement component C9",11,11,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02749","APOH_HUMAN","APOH","Beta-2-glycoprotein 1",12,12,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02760","AMBP_HUMAN","AMBP","Protein AMBP",12,12,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P02765","FETUA_HUMAN","AHSG","Alpha-2-HS-glycoprotein",8,7,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02774","VTDB_HUMAN","GC","Vitamin D-binding protein",28,28,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02776","PLF4_HUMAN","PF4","Platelet factor 4",3,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P02790","HEMO_HUMAN","HPX","Hemopexin",20,20,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P03951","FA11_HUMAN","F11","Coagulation factor XI",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P04003","C4BPA_HUMAN","C4BPA","C4b-binding protein alpha chain",16,16,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P04004","VTNC_HUMAN","VTN","Vitronectin",13,13,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P04114","APOB_HUMAN","APOB","Apolipoprotein B-100",147,147,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P04196","HRG_HUMAN","HRG","Histidine-rich glycoprotein",14,14,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P04217","A1BG_HUMAN","A1BG","Alpha-1B-glycoprotein",13,13,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P04278","SHBG_HUMAN","SHBG","Sex hormone-binding globulin",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P04430","KV116_HUMAN","IGKV1-16","Immunoglobulin kappa variable 1-16",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P04908","H2A1B_HUMAN","H2AC11","Histone H2A type 1-B/E",6,0,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P05089","ARGI1_HUMAN","ARG1","Arginase-1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",5,5,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P05543","THBG_HUMAN","SERPINA7","Thyroxine-binding globulin",5,5,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P05546","HEP2_HUMAN","SERPIND1","Heparin cofactor 2",12,12,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P06310","KV230_HUMAN","IGKV2-30","Immunoglobulin kappa variable 2-30",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P06331","HV434_HUMAN","IGHV4-34","Immunoglobulin heavy variable 4-34",2,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P06727","APOA4_HUMAN","APOA4","Apolipoprotein A-IV",25,25,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P07205","PGK2_HUMAN","PGK2","Phosphoglycerate kinase 2",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P07357","CO8A_HUMAN","C8A","Complement component C8 alpha chain",10,10,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",13,13,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P08185","CBG_HUMAN","SERPINA6","Corticosteroid-binding globulin",4,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P08514","ITA2B_HUMAN","ITGA2B","Integrin alpha-IIb",6,6,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P08519","APOA_HUMAN","LPA","Apolipoprotein(a)",6,6,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P08779","K1C16_HUMAN","KRT16","Keratin, type I cytoskeletal 16",2,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P09105","HBAT_HUMAN","HBQ1","Hemoglobin subunit theta-1",6,6,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P0C0L5","CO4B_HUMAN","C4B","Complement C4-B",63,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P0DN76","U2AF1_HUMAN","U2AF1","Splicing factor U2AF 35 kDa subunit-like protein",2,0,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P10412","H14_HUMAN","H1-4","Histone H1.4",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P12532","KCRU_HUMAN","CKMT1A","Creatine kinase U-type, mitochondrial",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P12724","ECP_HUMAN","RNASE3","Eosinophil cationic protein",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P13671","CO6_HUMAN","C6","Complement component C6",11,11,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P13762","DRB4_HUMAN","HLA-DRB4","HLA class II histocompatibility antigen, DR beta 4 chain",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P15169","CBPN_HUMAN","CPN1","Carboxypeptidase N catalytic chain",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P16401","H15_HUMAN","H1-5","Histone H1.5",4,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P16452","EPB42_HUMAN","EPB42","Erythrocyte membrane protein band 4.2",19,19,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P17213","BPI_HUMAN","BPI","Bactericidal permeability-increasing protein",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
